Bin_Start,Bin_End,Total_Primes,Count_Solitary,Count_Pairs,Count_Triplets,Count_Quads_Plus,Ratio_Cluster_to_Solitary
0,100000000,1083547,1059531,11790,144,1,0.011264
100000000,200000000,999369,978760,10107,129,2,0.010460
200000000,300000000,971068,951065,9848,101,1,0.010462
300000000,400000000,956973,938075,9311,92,0,0.010024
400000000,500000000,942860,924841,8893,75,2,0.009699
500000000,600000000,935275,917482,8761,89,1,0.009647
600000000,700000000,927944,910318,8679,88,1,0.009632
700000000,800000000,920055,902568,8616,85,0,0.009640
800000000,900000000,915554,898472,8421,80,0,0.009462
900000000,1000000000,910648,893721,8349,75,1,0.009427
1000000000,1100000000,905895,888837,8424,70,0,0.009556
1100000000,1200000000,900445,884084,8072,71,1,0.009212
1200000000,1300000000,897801,881161,8206,76,0,0.009399
1300000000,1400000000,895323,878894,8082,87,1,0.009296
1400000000,1500000000,891933,875527,8092,74,0,0.009327
1500000000,1600000000,887765,871338,8095,79,0,0.009381
1600000000,1700000000,886598,870327,8007,83,2,0.009298
1700000000,1800000000,882194,866375,7806,69,0,0.009090
1800000000,1900000000,881669,865520,7914,107,0,0.009267
1900000000,2000000000,880655,864666,7878,75,2,0.009200
